Descriptor,Result
CNNX_Tbol,25.887394289114695
CNNM_Tbol,-20529.31832521516
CNOO_Tbol,27105.838955748815
CNOX_Tbol,7.796561685798906
CNOM_Tbol,15475.878243106137
CNXX_Tbol,67.12246430631012
CNXM_Tbol,0.0
CNMM_Tbol,6565.957752269564
COOO_Tbol,-19480.52801684962
COOX_Tbol,71.44351619742338
COOM_Tbol,-5215.610283840406
COXX_Tbol,7.784718949056696
COXM_Tbol,0.0
COMM_Tbol,-4303.450753172832
CXXX_Tbol,312.8742848062757
CXXM_Tbol,0.0
CXMM_Tbol,0.0
CMMM_Tbol,10861.85228487719
NNNN_Tbol,-12016.874555571512
NNNO_Tbol,34180.56191206649
NNNX_Tbol,-5.952773022833867
NNNM_Tbol,0.0
NNOO_Tbol,-18201.231520255977
NNOX_Tbol,-39.84644254416264
NNOM_Tbol,50503.902792623405
NNXX_Tbol,-111.46654477368702
NNXM_Tbol,0.0
NNMM_Tbol,-2058.8451902935003
NOOO_Tbol,28595.205139480397
NOOX_Tbol,56.96428960450467
NOOM_Tbol,-23745.076901548884
NOXX_Tbol,2.0563730170381405
NOXM_Tbol,0.0
NOMM_Tbol,-2791.239873238928
NXXX_Tbol,-12.800052262581971
NXXM_Tbol,0.0
NXMM_Tbol,0.0
NMMM_Tbol,-22966.21020006021
OOOO_Tbol,24087.152319831675
OOOX_Tbol,33.33973561219341
OOOM_Tbol,-593.0386821666307
OOXX_Tbol,-78.33885196792971
OOXM_Tbol,0.0
OOMM_Tbol,-497.8201419985748
OXXX_Tbol,70.9681844231867
OXXM_Tbol,0.0
OXMM_Tbol,0.0
OMMM_Tbol,13501.637000484192
XXXX_Tbol,-196.97735155776786
XXXM_Tbol,0.0
XXMM_Tbol,0.0
XMMM_Tbol,0.0
MMMM_Tbol,0.0
SSSS_Rcov,54036.184931719166
SSSC_Rcov,-3568.760082382675
SSSN_Rcov,-7922.148408035026
SSSO_Rcov,-14882.1945381366
SSSX_Rcov,0.0
SSSM_Rcov,-7750.234119727351
SSCC_Rcov,-6080.485977452181
SSCN_Rcov,-4729.652597713435
SSCO_Rcov,-50961.471159849396
SSCX_Rcov,0.0
SSCM_Rcov,-3148.1944470305025
SSNN_Rcov,0.0
SSNO_Rcov,-16771.714722024735
SSNX_Rcov,0.0
SSNM_Rcov,-58427.22741313552
SSOO_Rcov,36309.74625049496
SSOX_Rcov,0.0
SSOM_Rcov,-47987.34498249027
SSXX_Rcov,0.0
SSXM_Rcov,0.0
SSMM_Rcov,104.43973946976922
SCCC_Rcov,4461.396129460089
SCCN_Rcov,1271.5047832229338
SCCO_Rcov,9511.974058370512
SCCX_Rcov,0.0
SCCM_Rcov,-5912.057362484022
SCNN_Rcov,-11864.956700522664
SCNO_Rcov,-4707.754327411508
SCNX_Rcov,0.0
SCNM_Rcov,8905.291242864081
SCOO_Rcov,-603.8145196582975
SCOX_Rcov,0.0
SCOM_Rcov,13350.448486381149
SCXX_Rcov,0.0
SCXM_Rcov,0.0
SCMM_Rcov,-2806.7922562471513
SNNN_Rcov,0.0
SNNO_Rcov,-11633.698898571913
SNNX_Rcov,0.0
SNNM_Rcov,-16495.74274168257
SNOO_Rcov,38.86852609525175
SNOX_Rcov,0.0
SNOM_Rcov,-4083.4418445338197
SNXX_Rcov,0.0
SNXM_Rcov,0.0
SNMM_Rcov,-11513.06382849105
SOOO_Rcov,7267.989560952878
SOOX_Rcov,0.0
SOOM_Rcov,3575.7038788237023
SOXX_Rcov,0.0
SOXM_Rcov,0.0
SOMM_Rcov,-20781.05718471283
SXXX_Rcov,0.0
SXXM_Rcov,0.0
SXMM_Rcov,0.0
SMMM_Rcov,-1045.700940473931
CCCC_Rcov,-3385.835996047864
CCCN_Rcov,8057.027883756384
CCCO_Rcov,-19868.91614108567
CCCX_Rcov,504.11359433621556
CCCM_Rcov,13572.46380696989
CCNN_Rcov,-7601.125895211638
CCNO_Rcov,-3268.8595468603608
CCNX_Rcov,-86.20082530100626
CCNM_Rcov,-4619.722766994744
CCOO_Rcov,19489.48719727629
CCOX_Rcov,318.22340063402953
CCOM_Rcov,17887.520023065692
CCXX_Rcov,346.2950441316443
CCXM_Rcov,0.0
CCMM_Rcov,-1062.2517115326552
CNNN_Rcov,-27995.45044330859
CNNO_Rcov,-24507.948864163678
CNNX_Rcov,25.887457178934028
CNNM_Rcov,-24755.156310193208
CNOO_Rcov,26935.357982664027
CNOX_Rcov,7.796657876092922
CNOM_Rcov,15720.341640859027
CNXX_Rcov,67.12258157649103
CNXM_Rcov,0.0
CNMM_Rcov,8184.532259593274
COOO_Rcov,-19840.055166410628
COOX_Rcov,71.44343975980382
COOM_Rcov,-5405.372270236095
COXX_Rcov,7.784768436027662
COXM_Rcov,0.0
COMM_Rcov,-3665.9529975083087
CXXX_Rcov,312.8742116398985
CXXM_Rcov,0.0
CXMM_Rcov,0.0
CMMM_Rcov,11777.101037976972
NNNN_Rcov,10334.410393207412
NNNO_Rcov,-31072.92542093005
NNNX_Rcov,5.952741781718686
NNNM_Rcov,0.0
NNOO_Rcov,18772.189683996934
NNOX_Rcov,39.84636461692594
NNOM_Rcov,42384.549970197055
NNXX_Rcov,111.4665909008213
NNXM_Rcov,0.0
NNMM_Rcov,29746.87684962552
NOOO_Rcov,-28411.54424499959
NOOX_Rcov,-56.96405093641721
NOOM_Rcov,-17727.75088169591
NOXX_Rcov,-2.056298500314597
NOXM_Rcov,0.0
NOMM_Rcov,-10774.620383053962
NXXX_Rcov,12.800133930008599
NXXM_Rcov,0.0
NXMM_Rcov,0.0
NMMM_Rcov,-24092.219202979817
OOOO_Rcov,-23889.52752855769
OOOX_Rcov,-33.3399371812402
OOOM_Rcov,12173.737241874325
OOXX_Rcov,78.33864322748286
OOXM_Rcov,0.0
OOMM_Rcov,2475.665236223591
OXXX_Rcov,-70.96817496926326
OXXM_Rcov,0.0
OXMM_Rcov,0.0
OMMM_Rcov,14689.832641883902
XXXX_Rcov,196.97724916866332
XXXM_Rcov,0.0
XXMM_Rcov,0.0
XMMM_Rcov,0.0
MMMM_Rcov,0.0
SSSS_ρ,-129444.4080263102
SSSC_ρ,-1026.4528265764216
SSSN_ρ,1792.649837491509
SSSO_ρ,160812.583728713
SSSX_ρ,0.0
SSSM_ρ,9403.181529326625
SSCC_ρ,-6420.993325881709
SSCN_ρ,62356.40498987231
SSCO_ρ,496009.1400934077
SSCX_ρ,0.0
SSCM_ρ,-3530.349581279663
SSNN_ρ,0.0
SSNO_ρ,37970.63248078218
SSNX_ρ,0.0
SSNM_ρ,-1629.1705521324966
SSOO_ρ,-62858.17819293178
SSOX_ρ,0.0
SSOM_ρ,-226540.55184818665
SSXX_ρ,0.0
SSXM_ρ,0.0
SSMM_ρ,-2272.651865276331
SCCC_ρ,6041.80710581309
SCCN_ρ,-68308.84987256832
SCCO_ρ,-32510.242380916836
SCCX_ρ,0.0
SCCM_ρ,-7806.720516192485
SCNN_ρ,345135.4247430101
SCNO_ρ,1914.660419802893
SCNX_ρ,0.0
SCNM_ρ,26952.739173890805
SCOO_ρ,-20749.769870284897
SCOX_ρ,0.0
SCOM_ρ,41791.89994509926
SCXX_ρ,0.0
SCXM_ρ,0.0
SCMM_ρ,-2768.5267278284064
SNNN_ρ,0.0
SNNO_ρ,38275.7531240044
SNNX_ρ,0.0
SNNM_ρ,69225.43114719911
SNOO_ρ,1383.1090690785113
SNOX_ρ,0.0
SNOM_ρ,202021.46652144255
SNXX_ρ,0.0
SNXM_ρ,0.0
SNMM_ρ,-15171.375711094435
SOOO_ρ,-4024.24034034819
SOOX_ρ,0.0
SOOM_ρ,163668.04134031708
SOXX_ρ,0.0
SOXM_ρ,0.0
SOMM_ρ,4661.421716753211
SXXX_ρ,0.0
SXXM_ρ,0.0
SXMM_ρ,0.0
SMMM_ρ,3747.3871699088613
CCCC_ρ,-3576.410091852729
CCCN_ρ,4936.823584516069
CCCO_ρ,-21331.796594052787
CCCX_ρ,504.11375105444495
CCCM_ρ,13986.273438181273
CCNN_ρ,7304.411346959708
CCNO_ρ,-257.73156495065314
CCNX_ρ,-86.20075697443326
CCNM_ρ,-5177.180010757316
CCOO_ρ,16125.921093292387
CCOX_ρ,318.2236179302972
CCOM_ρ,23186.905793829843
CCXX_ρ,346.29520649169535
CCXM_ρ,0.0
CCMM_ρ,-464.7315920234962
CNNN_ρ,6001.8006365802385
CNNO_ρ,-34412.28220361449
CNNX_ρ,25.887415699827557
CNNM_ρ,-24838.93518809986
CNOO_ρ,21992.912167113158
CNOX_ρ,7.796437297706461
CNOM_ρ,27474.569097168616
CNXX_ρ,67.1225185342173
CNXM_ρ,0.0
CNMM_ρ,6238.040455776348
COOO_ρ,-27276.035580697266
COOX_ρ,71.44358107991411
COOM_ρ,27429.289556535245
COXX_ρ,7.78479909811449
COXM_ρ,0.0
COMM_ρ,5535.219614551183
CXXX_ρ,312.87423455193857
CXXM_ρ,0.0
CXMM_ρ,0.0
CMMM_ρ,12437.309895997227
NNNN_ρ,-155084.34196461787
NNNO_ρ,13376.684020227145
NNNX_ρ,5.952716202678232
NNNM_ρ,0.0
NNOO_ρ,-4258.077154375855
NNOX_ρ,39.846420334357504
NNOM_ρ,-5538.057025099472
NNXX_ρ,111.46650964780747
NNXM_ρ,0.0
NNMM_ρ,-31241.533108840602
NOOO_ρ,110634.02287585015
NOOX_ρ,-56.96406051135912
NOOM_ρ,-76802.30361142331
NOXX_ρ,-2.0561374913245913
NOXM_ρ,0.0
NOMM_ρ,94332.28672768146
